_id,Municipality,Tier,Region,Affordable purchase price of a detached house ($),Affordable purchase price of a semi-detached house ($),Affordable purchase price of a row/townhouse ($),Affordable purchase price of a condominium apartment ($),Purchase price based on income ($),Ninety per cent of average purchase price - detached ($),Ninety per cent of average purchase price - semi-detached ($),Ninety per cent of average purchase price - row/townhouse ($),Ninety per cent of average purchase price - condo apt ($),Average purchase price of a detached house ($),Average purchase price of a semi-detached house ($),Average purchase price of a row/townhouse ($),Average purchase price of a condominium apartment ($),Threshold applied for a detached house; and substitution ($),Threshold applied for a semi-detached; and substitution ($),Threshold applied for a row/townhouse; and substitution ($),Threshold applied for a condo apartment; and substitution ($),Affordable monthly rent of a bachelor unit ($),Affordable monthly rent of a 1-bedroom unit ($),Affordable monthly rent of a 2-bedroom unit ($),Affordable monthly rent of a 3+ bedroom unit ($),Rent based on income ($),Average market rent of a bachelor unit ($),Average market rent of a 1-bedroom unit ($),Average market rent of a 2-bedroom unit ($),Average market rent of a 3+ bedroom unit ($),Threshold applied for a bachelor unit; and substitution ($),Threshold applied for a 1-bedroom unit; and substitution ($),Threshold applied for a 2-bedroom unit; and substitution ($),Threshold applied for a 3+ bedroom unit; and substitution ($)
234,Milton T,LT,Central,"566,500","566,500","566,500","566,500","566,500","1,215,000","909,000","801,000","576,000","1,350,000","1,010,000","890,000","640,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,460","1,670","1,801","2,407","3,050","1,460","1,670","1,801","2,407",Rent; CD,Rent; Base,Rent; Base,Rent; CD
235,Minden Hills Tp,LT,Eastern,"333,700","333,700","333,700","333,700","333,700","675,000","414,000","477,000","504,000","750,000","460,000","530,000","560,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,281","1,533","1,620","1,620","1,620","1,281","1,533","1,762","2,142",Rent; Region,Rent; Region,Income; Base,Income; Base
236,Minto T,LT,Western,"391,900","391,900","391,900","391,900","391,900","621,000","639,000","657,000","585,000","690,000","710,000","730,000","650,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,317","1,602","1,781","1,810","1,810","1,317","1,602","1,781","2,045",Rent; CD,Rent; CD,Rent; CD,Income; Base
237,Mississauga C,LT,Central,"469,500","469,500","469,500","469,500","469,500","1,404,000","918,000","774,000","567,000","1,560,000","1,020,000","860,000","630,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,262","1,746","2,005","2,109","2,480","1,262","1,746","2,005","2,109",Rent; Base,Rent; Base,Rent; Base,Rent; Base
238,Mississippi Mills M,LT,Eastern,"454,000","454,000","454,000","454,000","454,000","639,000","531,000","504,000","468,000","710,000","590,000","560,000","520,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,281","1,519","1,900","1,900","1,900","1,281","1,519","2,361","2,142",Rent; Region,Rent; CD,Income; Base,Income; Base
239,Mono T,LT,Western,"651,900","594,000","639,000","558,000","651,900","1,467,000","594,000","639,000","558,000","1,630,000","660,000","710,000","620,000",Income; Base,Price; CD,Price; CD,Price; CD,"1,350","1,463","1,714","1,714","3,260","1,350","1,463","1,714","1,714",Rent; CD,Rent; CD,Rent; CD,Rent; CD
240,Montague Tp,LT,Eastern,"454,000","454,000","454,000","387,000","454,000","567,000","459,000","522,000","387,000","630,000","510,000","580,000","430,000",Income; Base,Income; Base,Income; Base,Price; CD,"1,281","1,519","2,361","2,142","2,420","1,281","1,519","2,361","2,142",Rent; Region,Rent; CD,Rent; CD,Rent; Region
241,Moonbeam Tp,ST,Northeastern,"306,000","198,000","207,000","315,000","395,800","306,000","198,000","207,000","315,000","340,000","220,000","230,000","350,000",Price; Base,Price; CD,Price; CD,Price; CD,859,"1,185","1,299","1,410","1,620",859,"1,185","1,299","1,410",Rent; CD,Rent; CD,Rent; CD,Rent; CD
242,Moosonee T,ST,Northeastern,"279,000","198,000","207,000","315,000","426,800","279,000","198,000","207,000","315,000","310,000","220,000","230,000","350,000",Price; CD,Price; CD,Price; CD,Price; CD,859,"1,185","1,299","1,410","2,660",859,"1,185","1,299","1,410",Rent; CD,Rent; CD,Rent; CD,Rent; CD
243,Morley Tp,ST,Northwestern,"270,000","243,000","324,000","306,000","446,200","270,000","243,000","324,000","306,000","300,000","270,000","360,000","340,000",Price; CD,Price; Region,Price; Region,Price; Region,950,"1,163","1,479","1,660","1,660",950,"1,163","1,479","1,851",Rent; Region,Rent; Region,Rent; Region,Income; CD
244,Morris-Turnberry M,LT,Western,"391,900","391,900","391,900","391,900","391,900","576,000","450,000","459,000","495,000","640,000","500,000","510,000","550,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,082","1,205","1,804","1,744","1,990","1,082","1,205","1,804","1,744",Rent; Region,Rent; CD,Rent; CD,Rent; Region
245,Mulmur Tp,LT,Western,"523,800","523,800","523,800","523,800","523,800","1,233,000","594,000","639,000","558,000","1,370,000","660,000","710,000","620,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,350","1,463","1,714","1,714","2,120","1,350","1,463","1,714","1,714",Rent; CD,Rent; CD,Rent; CD,Rent; CD
246,Muskoka Lakes Tp,LT,Central,"403,600","403,600","403,600","403,600","403,600","2,187,000","522,000","4,005,000","1,791,000","2,430,000","580,000","4,450,000","1,990,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,012","1,347","1,560","1,850","1,850","1,012","1,347","1,560","2,418",Rent; CD,Rent; CD,Rent; CD,Income; Base
247,Nairn and Hyman Tp,ST,Northeastern,"387,000","261,000","252,000","324,000","419,100","387,000","261,000","252,000","324,000","430,000","290,000","280,000","360,000",Price; CD,Price; Region,Price; Region,Price; Region,879,"1,173","1,430","1,620","1,620",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; CD
248,Neebing M,ST,Northwestern,"396,000","243,000","333,000","306,000","430,700","396,000","243,000","333,000","306,000","440,000","270,000","370,000","340,000",Price; Base,Price; CD,Price; CD,Price; CD,976,"1,173","1,495","1,690","1,690",976,"1,173","1,495","1,864",Rent; CD,Rent; CD,Rent; CD,Income; CD
249,New Tecumseth T,LT,Central,"465,600","465,600","465,600","465,600","465,600","945,000","666,000","684,000","603,000","1,050,000","740,000","760,000","670,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,003","1,248","1,419","1,833","2,320","1,003","1,248","1,419","1,833",Rent; CD,Rent; Base,Rent; Base,Rent; CD
250,Newbury V,LT,Western,"333,700","333,700","333,700","333,700","333,700","693,000","441,000","468,000","423,000","770,000","490,000","520,000","470,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,079","1,381","1,654","1,830","1,830","1,079","1,381","1,654","1,976",Rent; CD,Rent; CD,Rent; CD,Income; CD
251,Newmarket T,LT,Central,"504,400","504,400","504,400","504,400","504,400","1,152,000","837,000","810,000","567,000","1,280,000","930,000","900,000","630,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,297","1,951","2,380","2,380","2,380","1,297","1,951","2,415","2,658",Rent; CD,Rent; Base,Income; Base,Income; Base
252,Niagara Falls C,LT,Central,"345,300","345,300","345,300","345,300","345,300","648,000","513,000","540,000","441,000","720,000","570,000","600,000","490,000",Income; Base,Income; Base,Income; Base,Income; Base,931,"1,416","1,585","1,639","1,760",931,"1,416","1,585","1,639",Rent; Base,Rent; Base,Rent; Base,Rent; Base
253,Niagara-on-the-Lake T,LT,Central,"450,100","450,100","450,100","450,100","450,100","1,260,000","765,000","864,000","765,000","1,400,000","850,000","960,000","850,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,183","1,313","1,527","1,643","2,110","1,183","1,313","1,527","1,643",Rent; CD,Rent; CD,Rent; CD,Rent; CD
254,Nipigon Tp,ST,Northwestern,"216,000","243,000","325,900","306,000","325,900","216,000","243,000","333,000","306,000","240,000","270,000","370,000","340,000",Price; Base,Price; CD,Income; Base,Price; CD,976,"1,173","1,495","1,690","1,690",976,"1,173","1,495","1,864",Rent; CD,Rent; CD,Rent; CD,Income; CD
255,Nipissing Tp,ST,Northeastern,"372,500","261,000","372,500","372,500","372,500","549,000","261,000","612,000","675,000","610,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,430","1,530","1,530",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; CD
256,Norfolk County,ST,Western,"376,400","376,400","376,400","376,400","376,400","648,000","513,000","549,000","594,000","720,000","570,000","610,000","660,000",Income; Base,Income; Base,Income; Base,Income; Base,667,"1,004",993,"1,744","1,750",667,"1,004",993,"1,744",Rent; Base,Rent; Base,Rent; Base,Rent; Region
257,North Algona-Wilberforce Tp,LT,Eastern,"372,500","369,000","372,500","279,000","372,500","486,000","369,000","387,000","279,000","540,000","410,000","430,000","310,000",Income; Base,Price; CD,Income; Base,Price; CD,"1,281","1,140","1,312","1,592","1,810","1,281","1,140","1,312","1,592",Rent; Region,Rent; CD,Rent; CD,Rent; CD
258,North Bay C,ST,Northeastern,"333,700","333,000","297,000","324,000","333,700","459,000","333,000","297,000","324,000","510,000","370,000","330,000","360,000",Income; Base,Price; Base,Price; Base,Price; Base,827,"1,071","1,400","1,630","1,630",827,"1,071","1,400","1,728",Rent; Base,Rent; Base,Rent; Base,Income; Base
259,North Dumfries Tp,LT,Western,"582,000","582,000","582,000","459,000","582,000","990,000","630,000","675,000","459,000","1,100,000","700,000","750,000","510,000",Income; Base,Income; Base,Income; Base,Price; CD,"1,261","1,545","1,832","1,980","2,480","1,261","1,545","1,832","1,980",Rent; CD,Rent; CD,Rent; CD,Rent; CD
260,North Dundas Tp,LT,Eastern,"415,200","351,000","324,000","324,000","415,200","486,000","351,000","324,000","324,000","540,000","390,000","360,000","360,000",Income; Base,Price; CD,Price; CD,Price; CD,951,"1,078","1,277","1,363","1,960",951,"1,078","1,277","1,363",Rent; CD,Rent; CD,Rent; CD,Rent; CD
261,North Frontenac Tp,LT,Eastern,"322,100","322,100","322,100","322,100","322,100","522,000","459,000","513,000","432,000","580,000","510,000","570,000","480,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,202","1,505","1,767","1,870","1,870","1,202","1,505","1,767","2,710",Rent; CD,Rent; CD,Rent; CD,Income; CD
262,North Glengarry Tp,LT,Eastern,"325,900","325,900","324,000","324,000","325,900","396,000","351,000","324,000","324,000","440,000","390,000","360,000","360,000",Income; Base,Income; Base,Price; CD,Price; CD,951,"1,078","1,277","1,363","1,540",951,"1,078","1,277","1,363",Rent; CD,Rent; CD,Rent; CD,Rent; CD
263,North Grenville M,LT,Eastern,"488,900","488,900","450,000","333,000","488,900","648,000","522,000","450,000","333,000","720,000","580,000","500,000","370,000",Income; Base,Income; Base,Price; Base,Price; Base,976,"1,175","1,322","1,247","2,170",976,"1,175","1,322","1,247",Rent; CD,Rent; CD,Rent; CD,Rent; CD
264,North Huron Tp,LT,Western,"341,500","341,500","341,500","341,500","341,500","477,000","450,000","459,000","495,000","530,000","500,000","510,000","550,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,082","1,205","1,380","1,380","1,380","1,082","1,205","1,804","1,744",Rent; Region,Rent; CD,Income; Base,Income; Base
265,North Kawartha Tp,LT,Eastern,"345,300","345,300","345,300","345,300","345,300","810,000","486,000","531,000","558,000","900,000","540,000","590,000","620,000",Income; Base,Income; Base,Income; Base,Income; Base,990,"1,060","1,060","1,060","1,060",990,"1,245","1,518","1,730",Rent; CD,Income; Base,Income; Base,Income; Base
266,North Middlesex M,LT,Western,"407,400","407,400","407,400","407,400","407,400","612,000","441,000","468,000","423,000","680,000","490,000","520,000","470,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,079","1,381","1,654","1,820","1,820","1,079","1,381","1,654","1,976",Rent; CD,Rent; CD,Rent; CD,Income; Base
267,North Perth M,LT,Western,"380,300","380,300","380,300","380,300","380,300","639,000","513,000","504,000","441,000","710,000","570,000","560,000","490,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,117","1,398","1,247","1,434","1,850","1,117","1,398","1,247","1,434",Rent; Base,Rent; Base,Rent; Base,Rent; Base
268,North Stormont Tp,LT,Eastern,"415,200","351,000","324,000","324,000","415,200","432,000","351,000","324,000","324,000","480,000","390,000","360,000","360,000",Income; Base,Price; CD,Price; CD,Price; CD,951,"1,078","1,277","1,363","2,110",951,"1,078","1,277","1,363",Rent; CD,Rent; CD,Rent; CD,Rent; CD
269,Northeastern Manitoulin & The Isl T,ST,Northeastern,"360,900","261,000","252,000","324,000","360,900","432,000","261,000","252,000","324,000","480,000","290,000","280,000","360,000",Income; Base,Price; Region,Price; Region,Price; Region,879,"1,173","1,410","1,410","1,410",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; Base,Income; Base
270,Northern Bruce Peninsula M,LT,Western,"337,600","337,600","337,600","337,600","337,600","657,000","459,000","531,000","549,000","730,000","510,000","590,000","610,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,082","1,254","1,710","1,710","1,710","1,082","1,254","1,783","1,828",Rent; Region,Rent; CD,Income; Base,Income; Base
271,Norwich Tp,LT,Western,"426,800","426,800","426,800","426,800","426,800","765,000","495,000","477,000","576,000","850,000","550,000","530,000","640,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,026","1,350","1,572","1,926","2,200","1,026","1,350","1,572","1,926",Rent; CD,Rent; CD,Rent; CD,Rent; CD
272,Oakville T,LT,Central,"609,200","609,200","609,200","609,200","609,200","1,854,000","1,053,000","1,008,000","684,000","2,060,000","1,170,000","1,120,000","760,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,477","1,915","2,337","2,439","2,720","1,477","1,915","2,337","2,439",Rent; Base,Rent; Base,Rent; Base,Rent; Base
273,O'Connor Tp,ST,Northwestern,"351,000","243,000","333,000","306,000","481,200","351,000","243,000","333,000","306,000","390,000","270,000","370,000","340,000",Price; CD,Price; CD,Price; CD,Price; CD,976,"1,173","1,495","1,690","1,690",976,"1,173","1,495","1,864",Rent; CD,Rent; CD,Rent; CD,Income; CD
274,Oil Springs V,LT,Western,"426,800","360,000","342,000","405,000","426,800","567,000","360,000","342,000","405,000","630,000","400,000","380,000","450,000",Income; Base,Price; CD,Price; CD,Price; CD,988,"1,249","1,522","1,712","1,730",988,"1,249","1,522","1,712",Rent; CD,Rent; CD,Rent; CD,Rent; CD
275,Oliver Paipoonge M,ST,Northwestern,"468,000","243,000","333,000","306,000","485,000","468,000","243,000","333,000","306,000","520,000","270,000","370,000","340,000",Price; Base,Price; CD,Price; CD,Price; CD,976,"1,173","1,495","1,864","2,200",976,"1,173","1,495","1,864",Rent; CD,Rent; CD,Rent; CD,Rent; CD
276,Opasatika Tp,ST,Northeastern,"279,000","198,000","207,000","315,000","376,400","279,000","198,000","207,000","315,000","310,000","220,000","230,000","350,000",Price; CD,Price; CD,Price; CD,Price; CD,859,"1,185","1,299","1,410","1,620",859,"1,185","1,299","1,410",Rent; CD,Rent; CD,Rent; CD,Rent; CD
277,Orangeville T,LT,Western,"469,500","469,500","469,500","459,000","469,500","855,000","603,000","639,000","459,000","950,000","670,000","710,000","510,000",Income; Base,Income; Base,Income; Base,Price; Base,"1,350","1,463","1,714","1,714","2,060","1,350","1,463","1,714","1,714",Rent; Base,Rent; Base,Rent; Base,Rent; Base
278,Orillia C,ST,Central,"329,800","329,800","329,800","329,800","329,800","657,000","639,000","567,000","630,000","730,000","710,000","630,000","700,000",Income; Base,Income; Base,Income; Base,Income; Base,923,"1,475","1,556","1,710","1,710",923,"1,475","1,556","1,744",Rent; Base,Rent; Base,Rent; Base,Income; Base
279,Oro-Medonte Tp,LT,Central,"527,700","527,700","527,700","459,000","527,700","1,044,000","639,000","711,000","459,000","1,160,000","710,000","790,000","510,000",Income; Base,Income; Base,Income; Base,Price; Base,"1,003","1,475","1,651","1,833","2,690","1,003","1,475","1,651","1,833",Rent; CD,Rent; CD,Rent; CD,Rent; CD
280,Oshawa C,LT,Central,"391,900","391,900","391,900","391,900","391,900","810,000","612,000","603,000","486,000","900,000","680,000","670,000","540,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,318","1,598","1,771","2,020","2,020","1,318","1,598","1,771","2,095",Rent; Base,Rent; Base,Rent; Base,Income; Base
281,Otonabee-South Monaghan Tp,LT,Eastern,"434,600","434,600","434,600","434,600","434,600","801,000","486,000","531,000","558,000","890,000","540,000","590,000","620,000",Income; Base,Income; Base,Income; Base,Income; Base,990,"1,245","1,518","1,730","1,880",990,"1,245","1,518","1,730",Rent; CD,Rent; CD,Rent; CD,Rent; CD
282,Ottawa C,ST,Eastern,"473,400","473,400","473,400","432,000","473,400","828,000","675,000","513,000","432,000","920,000","750,000","570,000","480,000",Income; Base,Income; Base,Income; Base,Price; Base,"1,331","1,597","1,926","2,203","2,300","1,331","1,597","1,926","2,203",Rent; Base,Rent; Base,Rent; Base,Rent; Base
283,Owen Sound C,LT,Western,"293,000","293,000","293,000","293,000","293,000","495,000","360,000","405,000","396,000","550,000","400,000","450,000","440,000",Income; Base,Income; Base,Income; Base,Income; Base,936,"1,130","1,263","1,376","1,480",936,"1,130","1,263","1,376",Rent; Base,Rent; Base,Rent; Base,Rent; Base
284,Papineau-Cameron Tp,ST,Northeastern,"360,000","333,000","306,000","333,000","411,300","360,000","333,000","306,000","333,000","400,000","370,000","340,000","370,000",Price; Base,Price; CD,Price; CD,Price; CD,807,"1,051","1,367","1,570","1,570",807,"1,051","1,367","1,682",Rent; CD,Rent; CD,Rent; CD,Income; CD
285,Parry Sound T,ST,Northeastern,"294,900","261,000","294,900","294,900","294,900","522,000","261,000","612,000","639,000","580,000","290,000","680,000","710,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,430","1,560","1,560",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; Base
286,Pelee Tp,ST,Western,"380,300","380,300","380,300","369,000","380,300","585,000","504,000","468,000","369,000","650,000","560,000","520,000","410,000",Income; CD,Income; CD,Income; CD,Price; CD,942,"1,192","1,454","1,710","1,710",942,"1,192","1,454","1,744",Rent; CD,Rent; CD,Rent; CD,Income; CD
287,Pelham T,LT,Central,"500,600","500,600","500,600","500,600","500,600","963,000","531,000","738,000","504,000","1,070,000","590,000","820,000","560,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,183","1,313","1,527","1,643","1,910","1,183","1,313","1,527","1,643",Rent; CD,Rent; CD,Rent; CD,Rent; CD
288,Pembroke C,ST,Eastern,"291,000","291,000","279,000","279,000","291,000","342,000","306,000","279,000","279,000","380,000","340,000","310,000","310,000",Income; Base,Income; Base,Price; Base,Price; CD,855,953,"1,207","1,510","1,510",855,953,"1,207","1,592",Rent; Base,Rent; Base,Rent; Base,Income; Base
289,Penetanguishene T,LT,Central,"345,300","345,300","345,300","345,300","345,300","666,000","396,000","585,000","567,000","740,000","440,000","650,000","630,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,003","1,302","1,360","1,360","1,360","1,003","1,302","1,423","1,833",Rent; CD,Rent; Base,Income; Base,Income; Base
290,Perry Tp,ST,Northeastern,"333,700","261,000","333,700","333,700","333,700","621,000","261,000","612,000","675,000","690,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,430","1,630","1,630",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; Base
291,Perth East Tp,LT,Western,"438,500","438,500","438,500","438,500","438,500","711,000","495,000","513,000","441,000","790,000","550,000","570,000","490,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,083","1,494","1,564","1,698","2,290","1,083","1,494","1,564","1,698",Rent; CD,Rent; CD,Rent; CD,Rent; CD
292,Perth South Tp,LT,Western,"465,600","465,600","465,600","441,000","465,600","810,000","495,000","513,000","441,000","900,000","550,000","570,000","490,000",Income; Base,Income; Base,Income; Base,Price; CD,"1,083","1,494","1,564","1,698","2,150","1,083","1,494","1,564","1,698",Rent; CD,Rent; CD,Rent; CD,Rent; CD
293,Perth T,LT,Eastern,"298,800","298,800","298,800","298,800","298,800","504,000","459,000","414,000","333,000","560,000","510,000","460,000","370,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,281","1,519","1,630","1,630","1,630","1,281","1,519","2,361","2,142",Rent; Region,Rent; CD,Income; Base,Income; Base
294,Petawawa T,LT,Eastern,"450,100","369,000","351,000","279,000","450,100","468,000","369,000","351,000","279,000","520,000","410,000","390,000","310,000",Income; Base,Price; CD,Price; Base,Price; CD,"1,281","1,079","1,225","1,104","2,810","1,281","1,079","1,225","1,104",Rent; Region,Rent; Base,Rent; Base,Rent; Base
295,Peterborough C,ST,Eastern,"329,800","329,800","329,800","329,800","329,800","612,000","486,000","522,000","486,000","680,000","540,000","580,000","540,000",Income; Base,Income; Base,Income; Base,Income; Base,988,"1,250","1,523","1,710","1,710",988,"1,250","1,523","1,730",Rent; Base,Rent; Base,Rent; Base,Income; Base
296,Petrolia T,LT,Western,"384,200","360,000","342,000","384,200","384,200","468,000","360,000","342,000","405,000","520,000","400,000","380,000","450,000",Income; Base,Price; CD,Price; CD,Income; Base,988,"1,249","1,522","1,630","1,630",988,"1,249","1,522","1,712",Rent; CD,Rent; CD,Rent; CD,Income; Base
297,Pickering C,LT,Central,"539,400","539,400","539,400","539,400","539,400","1,161,000","819,000","693,000","540,000","1,290,000","910,000","770,000","600,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,330","1,573","1,748","1,828","2,540","1,330","1,573","1,748","1,828",Rent; CD,Rent; CD,Rent; CD,Rent; Base
298,Pickle Lake Tp,ST,Northwestern,"289,100","243,000","289,100","289,100","289,100","396,000","243,000","351,000","306,000","440,000","270,000","390,000","340,000",Income; Base,Price; Region,Income; Base,Income; Base,950,"1,005","1,479","1,730","1,730",950,"1,005","1,479","1,851",Rent; Region,Rent; CD,Rent; Region,Income; Base
299,Plummer Additional Tp,ST,Northeastern,"271,600","207,000","234,000","271,600","271,600","342,000","207,000","234,000","306,000","380,000","230,000","260,000","340,000",Income; Base,Price; CD,Price; CD,Income; Base,918,"1,109","1,249","1,329","1,460",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Rent; CD
300,Plympton-Wyoming T,LT,Western,"488,900","360,000","342,000","405,000","488,900","720,000","360,000","342,000","405,000","800,000","400,000","380,000","450,000",Income; Base,Price; CD,Price; CD,Price; CD,988,"1,249","1,522","1,712","2,180",988,"1,249","1,522","1,712",Rent; CD,Rent; CD,Rent; CD,Rent; CD
301,Point Edward V,LT,Western,"391,900","360,000","342,000","391,900","391,900","459,000","360,000","342,000","459,000","510,000","400,000","380,000","510,000",Income; Base,Price; CD,Price; CD,Income; Base,988,"1,249","1,522","1,712","2,420",988,"1,249","1,522","1,712",Rent; CD,Rent; CD,Rent; CD,Rent; CD
302,Port Colborne C,LT,Central,"333,700","333,700","333,700","333,700","333,700","567,000","531,000","459,000","486,000","630,000","590,000","510,000","540,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,183","1,082","1,118","1,510","1,510","1,183","1,082","1,118","1,643",Rent; CD,Rent; Base,Rent; Base,Income; Base
303,Port Hope M,LT,Eastern,"407,400","407,400","407,400","407,400","407,400","756,000","558,000","549,000","486,000","840,000","620,000","610,000","540,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,148","1,585","1,588","1,630","1,630","1,148","1,585","1,588","1,895",Rent; CD,Rent; Base,Rent; Base,Income; Base
304,Powassan M,ST,Northeastern,"360,900","261,000","360,900","360,900","360,900","495,000","261,000","612,000","675,000","550,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,340","1,340","1,340",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; Base,Income; Base
305,Prescott ST,ST,Eastern,"281,300","281,300","281,300","281,300","281,300","369,000","288,000","387,000","405,000","410,000","320,000","430,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,976,"1,175","1,322","1,247","1,420",976,"1,175","1,322","1,247",Rent; CD,Rent; CD,Rent; CD,Rent; CD
306,Prince Edward County C,ST,Eastern,"376,400","376,400","376,400","376,400","376,400","801,000","414,000","531,000","666,000","890,000","460,000","590,000","740,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,281","1,352","1,362","1,790","1,790","1,281","1,352","1,362","2,142",Rent; Region,Rent; Base,Rent; Base,Income; Base
307,Prince Tp,ST,Northeastern,"342,000","207,000","234,000","306,000","512,200","342,000","207,000","234,000","306,000","380,000","230,000","260,000","340,000",Price; CD,Price; CD,Price; CD,Price; CD,918,"1,109","1,249","1,329","1,460",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Rent; CD
308,Puslinch Tp,LT,Western,"644,100","639,000","644,100","644,100","644,100","1,629,000","639,000","1,071,000","1,467,000","1,810,000","710,000","1,190,000","1,630,000",Income; Base,Price; CD,Income; Base,Income; Base,"1,317","1,602","1,781","2,045","2,810","1,317","1,602","1,781","2,045",Rent; CD,Rent; CD,Rent; CD,Rent; CD
309,Quinte West C,ST,Eastern,"372,500","372,500","372,500","372,500","372,500","540,000","396,000","486,000","450,000","600,000","440,000","540,000","500,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,065","1,392","1,422","1,858","1,990","1,065","1,392","1,422","1,858",Rent; CD,Rent; Base,Rent; Base,Rent; CD
310,Rainy River T,ST,Northwestern,"270,000","243,000","324,000","306,000","333,700","270,000","243,000","324,000","306,000","300,000","270,000","360,000","340,000",Price; CD,Price; Region,Price; Region,Price; Region,950,"1,163","1,320","1,320","1,320",950,"1,163","1,479","1,851",Rent; Region,Rent; Region,Income; Base,Income; Base
311,Ramara Tp,LT,Central,"399,700","399,700","399,700","399,700","399,700","810,000","639,000","468,000","567,000","900,000","710,000","520,000","630,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,003","1,475","1,651","1,833","2,020","1,003","1,475","1,651","1,833",Rent; CD,Rent; CD,Rent; CD,Rent; CD
312,Red Lake M,ST,Northwestern,"234,000","243,000","351,000","306,000","531,600","234,000","243,000","351,000","306,000","260,000","270,000","390,000","340,000",Price; Base,Price; Region,Price; CD,Price; Region,950,"1,005","1,479","1,851","2,510",950,"1,005","1,479","1,851",Rent; Region,Rent; CD,Rent; Region,Rent; Region
313,Red Rock Tp,ST,Northwestern,"341,500","243,000","333,000","306,000","341,500","351,000","243,000","333,000","306,000","390,000","270,000","370,000","340,000",Income; Base,Price; CD,Price; CD,Price; CD,976,"1,173","1,495","1,690","1,690",976,"1,173","1,495","1,864",Rent; CD,Rent; CD,Rent; CD,Income; Base
314,Renfrew T,LT,Eastern,"287,100","287,100","287,100","279,000","287,100","360,000","369,000","360,000","279,000","400,000","410,000","400,000","310,000",Income; Base,Income; Base,Income; Base,Price; CD,"1,281","1,140","1,312","1,440","1,440","1,281","1,140","1,312","1,592",Rent; Region,Rent; CD,Rent; CD,Income; Base
315,Richmond Hill C,LT,Central,"488,900","488,900","488,900","488,900","488,900","1,719,000","1,071,000","1,017,000","594,000","1,910,000","1,190,000","1,130,000","660,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,328","1,583","1,827","2,260","2,260","1,328","1,583","1,827","2,332",Rent; Base,Rent; Base,Rent; Base,Income; Base
316,Rideau Lakes Tp,LT,Eastern,"380,300","380,300","380,300","380,300","380,300","603,000","387,000","387,000","405,000","670,000","430,000","430,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,976,"1,175","1,322","1,247","2,140",976,"1,175","1,322","1,247",Rent; CD,Rent; CD,Rent; CD,Rent; CD
317,Russell Tp,LT,Eastern,"547,100","513,000","459,000","351,000","547,100","621,000","513,000","459,000","351,000","690,000","570,000","510,000","390,000",Income; Base,Price; Base,Price; Base,Price; Base,590,948,"1,463","2,140","2,140",590,948,"1,463","2,142",Rent; CD,Rent; CD,Rent; CD,Income; Base
