_id,Municipality,Tier,Region,Affordable purchase price of a detached house ($),Affordable purchase price of a semi-detached house ($),Affordable purchase price of a row/townhouse ($),Affordable purchase price of a condominium apartment ($),Purchase price based on income ($),Ninety per cent of average purchase price - detached ($),Ninety per cent of average purchase price - semi-detached ($),Ninety per cent of average purchase price - row/townhouse ($),Ninety per cent of average purchase price - condo apt ($),Average purchase price of a detached house ($),Average purchase price of a semi-detached house ($),Average purchase price of a row/townhouse ($),Average purchase price of a condominium apartment ($),Threshold applied for a detached house; and substitution ($),Threshold applied for a semi-detached; and substitution ($),Threshold applied for a row/townhouse; and substitution ($),Threshold applied for a condo apartment; and substitution ($),Affordable monthly rent of a bachelor unit ($),Affordable monthly rent of a 1-bedroom unit ($),Affordable monthly rent of a 2-bedroom unit ($),Affordable monthly rent of a 3+ bedroom unit ($),Rent based on income ($),Average market rent of a bachelor unit ($),Average market rent of a 1-bedroom unit ($),Average market rent of a 2-bedroom unit ($),Average market rent of a 3+ bedroom unit ($),Threshold applied for a bachelor unit; and substitution ($),Threshold applied for a 1-bedroom unit; and substitution ($),Threshold applied for a 2-bedroom unit; and substitution ($),Threshold applied for a 3+ bedroom unit; and substitution ($)
34,Bluewater M,LT,Western,"399,700","399,700","399,700","399,700","399,700","720,000","450,000","459,000","495,000","800,000","500,000","510,000","550,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,082","1,205","1,750","1,744","1,750","1,082","1,205","1,804","1,744",Rent; Region,Rent; CD,Income; Base,Rent; Region
35,Bonfield Tp,ST,Northeastern,"372,500","333,000","306,000","333,000","372,500","423,000","333,000","306,000","333,000","470,000","370,000","340,000","370,000",Income; Base,Price; CD,Price; CD,Price; CD,807,"1,051","1,367","1,682","2,200",807,"1,051","1,367","1,682",Rent; CD,Rent; CD,Rent; CD,Rent; CD
36,Bonnechere Valley Tp,LT,Eastern,"322,100","322,100","322,100","279,000","322,100","396,000","369,000","387,000","279,000","440,000","410,000","430,000","310,000",Income; Base,Income; Base,Income; Base,Price; CD,"1,281","1,140","1,312","1,360","1,360","1,281","1,140","1,312","1,592",Rent; Region,Rent; CD,Rent; CD,Income; Base
37,Bracebridge T,LT,Central,"388,000","388,000","388,000","388,000","388,000","765,000","522,000","549,000","522,000","850,000","580,000","610,000","580,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,012","1,165","1,513","1,584","1,770","1,012","1,165","1,513","1,584",Rent; CD,Rent; Base,Rent; Base,Rent; Base
38,Bradford West Gwillimbury T,LT,Central,"512,200","512,200","512,200","450,000","512,200","1,053,000","783,000","747,000","450,000","1,170,000","870,000","830,000","500,000",Income; Base,Income; Base,Income; Base,Price; Base,"1,003","1,475","1,651","1,833","2,720","1,003","1,475","1,651","1,833",Rent; CD,Rent; CD,Rent; CD,Rent; CD
39,Brampton C,LT,Central,"500,600","500,600","500,600","500,600","500,600","1,134,000","846,000","720,000","522,000","1,260,000","940,000","800,000","580,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,430","1,778","2,032","2,132","2,570","1,430","1,778","2,032","2,132",Rent; Base,Rent; Base,Rent; Base,Rent; Base
40,Brant County,ST,Western,"488,900","488,900","488,900","488,900","488,900","927,000","549,000","612,000","774,000","1,030,000","610,000","680,000","860,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,204","1,448","1,619","1,680","2,150","1,204","1,448","1,619","1,680",Rent; CD,Rent; CD,Rent; CD,Rent; CD
41,Brantford C,ST,Western,"368,600","368,600","368,600","368,600","368,600","630,000","504,000","522,000","414,000","700,000","560,000","580,000","460,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,204","1,448","1,619","1,680","1,820","1,204","1,448","1,619","1,680",Rent; Base,Rent; Base,Rent; Base,Rent; Base
42,Brethour Tp,ST,Northeastern,"297,000","261,000","243,000","324,000","341,500","297,000","261,000","243,000","324,000","330,000","290,000","270,000","360,000",Price; CD,Price; Region,Price; CD,Price; Region,879,"1,173","1,380","1,380","1,380",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; CD,Income; CD
43,Brighton M,LT,Eastern,"368,600","368,600","368,600","368,600","368,600","639,000","531,000","522,000","558,000","710,000","590,000","580,000","620,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,148","1,465","1,403","1,870","1,870","1,148","1,465","1,403","1,895",Rent; CD,Rent; CD,Rent; Base,Income; Base
